osm_type,osm_id,amenity,latitude,longitude,name,operator
node,6851342766,waste_disposal,23.7464702,90.376948,,government
node,6851342767,waste_disposal,23.7465507,90.3804687,,government
node,6851342768,waste_disposal,23.7443049,90.3796776,,government
node,6851342769,waste_disposal,23.744309,90.3796108,,government
node,6851342770,waste_disposal,23.7446562,90.3819417,,government
node,6851342771,waste_disposal,23.7444272,90.3808455,,government
node,6851342772,waste_disposal,23.7453688,90.3782805,,government
node,6851342774,waste_disposal,23.7432586,90.3802858,,government
node,6851342775,waste_disposal,23.743553,90.3817627,,government
node,6851342776,waste_disposal,23.7425699,90.3821878,,government
node,6851342777,waste_disposal,23.7430367,90.3791299,,government
node,6851342778,waste_disposal,23.7419961,90.3793029,,government
node,6851342779,waste_disposal,23.7423488,90.3810808,,government
node,6851342780,waste_disposal,23.7423563,90.3810372,,government
node,6851342782,waste_disposal,23.7418163,90.3802992,,government
node,6851342783,waste_disposal,23.7416005,90.3801577,,government
node,6851342784,waste_disposal,23.7407817,90.3784726,,government;others
node,6851355727,waste_disposal,23.7309992,90.3868757,,government
node,6851355728,waste_disposal,23.7307257,90.3869088,,government
node,6851355729,waste_disposal,23.7308759,90.3868978,,government
node,6851355735,waste_disposal,23.7363419,90.3884604,,socity
node,6851355736,waste_disposal,23.7349007,90.3840895,,
node,6851355742,waste_disposal,23.7390186,90.3896572,,government
node,6851355767,waste_disposal,23.729559,90.3846628,,government
node,6851355768,waste_disposal,23.7295812,90.3849774,,government
node,6851355770,waste_disposal,23.7515302,90.3771522,,government
node,6851358058,waste_disposal,23.7409168,90.3752123,,government
node,6851358061,waste_disposal,23.7316701,90.3717745,,government
node,6851358062,waste_disposal,23.7487422,90.3686045,,government
node,6851358063,waste_disposal,23.7440357,90.3677235,,government
node,6851358064,waste_disposal,23.7478626,90.3705769,,socity;government
node,6851358065,waste_disposal,23.7481502,90.371096,,government
node,6851358066,waste_disposal,23.7469376,90.3711143,,government
node,6851358067,waste_disposal,23.7471444,90.3718321,,socity
node,6851358068,waste_disposal,23.7460858,90.3716992,,government
node,6851358071,waste_disposal,23.7460447,90.3717073,,
node,6851358072,waste_disposal,23.7487243,90.3697164,,government;ngo
node,6851358073,waste_disposal,23.7488576,90.3696513,,government
node,6851358074,waste_disposal,23.7477381,90.3706813,,government
node,6851358078,waste_disposal,23.7496379,90.3717243,,government
node,6851358080,waste_disposal,23.7483627,90.3713965,,government
node,6851360908,waste_disposal,23.7233107,90.4014403,,socity
node,6851360909,waste_disposal,23.7229957,90.4006123,,government
node,6851360910,waste_disposal,23.7233208,90.4008276,,government
node,6851360911,waste_disposal,23.7230802,90.3972602,,government
node,6851360912,waste_disposal,23.7212999,90.3991158,,government
node,6851360918,waste_disposal,23.7220126,90.394545,,government
node,6851360921,waste_disposal,23.7204172,90.3982421,,government
node,6851360922,waste_disposal,23.7230861,90.3972802,,government
node,6851360923,waste_disposal,23.7223426,90.3931146,,government
node,6851360926,waste_disposal,23.7247111,90.3871591,,government
node,6851360930,waste_disposal,23.7240321,90.3854716,,government
node,6851360931,waste_disposal,23.7290092,90.3857699,,government
node,6851360932,waste_disposal,23.7286119,90.3857699,,government
node,6851360934,waste_disposal,23.7269336,90.3878942,,government
node,6851360936,waste_disposal,23.7243103,90.3854001,,government
node,6851360937,waste_disposal,23.7243103,90.3858401,,government
node,6851361694,waste_disposal,23.7230168,90.3849493,,government
node,6851361695,waste_disposal,23.7227403,90.3868197,,government
node,6851361696,waste_disposal,23.7227151,90.3865451,,government
node,6851361697,waste_disposal,23.7227906,90.3870942,,government
node,6851361702,waste_disposal,23.7227698,90.387066,,government
node,6851361703,waste_disposal,23.7221559,90.3905322,,government
node,6851361704,waste_disposal,23.721922,90.3848973,,government
node,6851361705,waste_disposal,23.7222645,90.3904453,,government
node,6851361707,waste_disposal,23.7220385,90.3824872,,government
node,6851361720,waste_disposal,23.7261366,90.3796627,,government
node,6851361721,waste_disposal,23.7259197,90.3798044,,socity
node,6851361722,waste_disposal,23.7201418,90.3797525,,government
node,6851361723,waste_disposal,23.7263707,90.3812521,,government
node,6851361724,waste_disposal,23.7283942,90.3812963,,government
node,6851361725,waste_disposal,23.7293337,90.3813885,,government
node,6851361726,waste_disposal,23.7261823,90.3814992,,government
node,6851361727,waste_disposal,23.7225604,90.374179,,government
node,6851361728,waste_disposal,23.7230139,90.3737544,,government
node,6851361729,waste_disposal,23.7268475,90.3677164,,government
node,6851361731,waste_disposal,23.7243445,90.3709098,,government
node,6851361734,waste_disposal,23.7366802,90.3892667,,socity
node,6851361985,waste_disposal,23.7413015,90.3810509,,government
node,6851361986,waste_disposal,23.7408236,90.3786787,,government
node,6851361987,waste_disposal,23.740749,90.3782893,,
node,6851361988,waste_disposal,23.7415183,90.3821878,,government
node,6851361989,waste_disposal,23.7408678,90.3790139,,government
node,6851362186,waste_disposal,23.7478306,90.3767587,,government
node,6851362288,waste_disposal,23.7382861,90.3730111,,government
node,6851362292,waste_disposal,23.7333151,90.3639145,,government
node,6851362293,waste_disposal,23.7348816,90.366435,,government
node,6851362294,waste_disposal,23.7411965,90.3665127,,government
node,6851362295,waste_disposal,23.7422938,90.3634849,,government
node,6851362297,waste_disposal,23.7301978,90.36441,,government
node,6851362298,waste_disposal,23.7288428,90.3679589,,government
node,6851362299,waste_disposal,23.7302818,90.3670315,,government
node,6851362300,waste_disposal,23.7321053,90.3659769,,government
node,6851362301,waste_disposal,23.7302149,90.3574392,,government
node,6851362302,waste_disposal,23.7368261,90.3616418,,
node,6851362303,waste_disposal,23.7364216,90.3616883,,
node,6851362304,waste_disposal,23.7314961,90.3710141,,government
node,6851362307,waste_disposal,23.7292661,90.3756387,,government
node,6851362308,waste_disposal,23.731232,90.3724318,,government
node,6851362310,waste_disposal,23.7398914,90.3609461,,government
node,6851362311,waste_disposal,23.7384381,90.3610885,,government
node,6851362312,waste_disposal,23.7430721,90.36015,,government
node,6851362313,waste_disposal,23.748422,90.3757404,,government
node,6851362314,waste_disposal,23.7471228,90.3757597,,government
node,6851362315,waste_disposal,23.7457358,90.3756003,,government
node,6851362316,waste_disposal,23.7482152,90.3735868,,socity
node,6851362317,waste_disposal,23.7487019,90.3743844,,socity
node,6851362318,waste_disposal,23.7480205,90.3732146,,socity
node,6899634455,waste_disposal,23.75824,90.3875033,,
node,6899939955,waste_disposal,23.7579719,90.3840492,,
node,6988088021,waste_disposal,23.7354191,90.4286594,,
node,7447592237,waste_disposal,23.7206124,90.4006282,,socity
node,7447592238,waste_disposal,23.7231989,90.4029186,,government
node,7447592240,waste_disposal,23.7232708,90.4067623,,government
node,7447592263,waste_disposal,23.7217626,90.4120961,,government
node,7447592276,waste_disposal,23.7219784,90.402101,,government
node,7447592308,waste_disposal,23.7219928,90.4104922,,government
node,7447592311,waste_disposal,23.7213957,90.3758601,,government
node,7447592321,waste_disposal,23.7223805,90.4095764,,government
node,7447592328,waste_disposal,23.7225173,90.4054022,,government
node,7447592339,waste_disposal,23.7212102,90.4115572,,government
node,7447592344,waste_disposal,23.721645,90.4042072,,socity
node,7447592348,waste_disposal,23.7201185,90.3781219,,government
node,7447592353,waste_disposal,23.7224845,90.4014114,,government
node,7447592358,waste_disposal,23.722719,90.4066048,,government
node,7447592362,waste_disposal,23.7214931,90.3955341,,others
node,7447592374,waste_disposal,23.7214405,90.4058929,,government
node,7447592380,waste_disposal,23.7203866,90.3774789,,government
node,7447592390,waste_disposal,23.7499674,90.3581389,,government
node,7447592393,waste_disposal,23.7204197,90.4002673,,socity
node,7447592396,waste_disposal,23.7229651,90.4068792,,government
node,7447592413,waste_disposal,23.721781,90.4049713,,government
node,7447592417,waste_disposal,23.7200291,90.4117064,,government
node,7447592420,waste_disposal,23.7206072,90.3769769,,government
node,7447592422,waste_disposal,23.723104,90.4105428,,government
node,7447592425,waste_disposal,23.7206675,90.4031545,,socity
node,9163654895,waste_disposal,23.7464434,90.4066625,,
node,11765339054,waste_disposal,23.8198924,90.3691771,,
node,11847928471,waste_disposal,23.7358853,90.3922952,,
node,12177906400,waste_disposal,23.8284909,90.3793062,Trash Bin,
node,12196803232,waste_disposal,23.8136133,90.3502653,,
node,12196803237,waste_disposal,23.8127109,90.3494927,,
node,12218394000,waste_disposal,23.8177678,90.3736505,Brac Community Drain,
node,12218492205,waste_disposal,23.8199199,90.3694588,,
node,12218547161,waste_disposal,23.8294309,90.3801477,,
node,12218547167,waste_disposal,23.8298509,90.3803549,Habitat for Humanity Bangladesh,
node,12218547714,waste_disposal,23.8297366,90.3798882,,
way,606376351,waste_transfer_station,23.77297,90.4151749,City Corporation Waste Center,
way,1296062020,waste_transfer_station,23.8083983,90.3581365,,Dhaka North City Corporation
way,1311523469,waste_transfer_station,23.8089123,90.3594803,,Dhaka North City Corporation
way,1411413500,waste_transfer_station,23.7247099,90.4234368,,
way,1420940400,waste_transfer_station,23.7398577,90.4301596,অন্তবরর্তীকালীন বর্জ্য স্থানান্তর কেন্দ্র - ওয়ার্ড ০৪,DSCC
node,5254343157,waste_transfer_station,23.7891542,90.3537644,Tolerbag Waste Transfer Point,
node,6851334678,waste_transfer_station,23.750366,90.378474,,government
node,6851355738,waste_transfer_station,23.7323447,90.3830325,,government
node,6851355741,waste_transfer_station,23.7332155,90.382328,,government
node,6851361730,waste_transfer_station,23.7240293,90.3718817,,government
node,6851361733,waste_transfer_station,23.7350302,90.3867708,,government
node,6851361735,waste_transfer_station,23.7390543,90.3855418,,government
node,6851362296,waste_transfer_station,23.7443098,90.3598698,,government
node,6851362306,waste_transfer_station,23.7320208,90.3633466,,government
node,6851362309,waste_transfer_station,23.739271,90.3610752,,government
node,7447592244,waste_transfer_station,23.7232999,90.4048563,,government
node,7447592317,waste_transfer_station,23.7231465,90.409578,,government
node,8890507002,waste_transfer_station,23.8137169,90.370126,Waste Transfer Station,
node,12025517656,waste_transfer_station,23.720231,90.3785281,"Waste Collection Point (STS), Waste management service",
